,0
0,push
1,tennis_serve
2,tennis_serve
3,draw_x
4,arm_cross
5,draw_triangle
6,baseball_swing
7,draw_triangle
8,jog
9,arm_cross
10,throw
11,swipt_left
12,throw
13,walk
14,draw_triangle
15,swipt_left
16,stand2sit
17,draw_triangle
18,tennis_swing
19,stand2sit
20,jog
21,draw_circle_cw
22,draw_x
23,tennis_serve
24,draw_x
25,push
26,push
27,throw
28,swipt_left
29,baseball_swing
30,tennis_swing
31,tennis_swing
32,stand2sit
33,push
34,tennis_swing
35,arm_cross
36,boxing
37,catch
38,draw_x
39,bowling
40,draw_circle_ccw
41,tennis_serve
42,bowling
43,throw
44,push
45,tennis_swing
46,throw
47,sit2stand
48,jog
49,arm_cross
50,tennis_serve
51,boxing
52,swipt_right
53,draw_circle_cw
54,arm_cross
55,swipt_right
56,squat
57,throw
58,jog
59,draw_circle_cw
60,pickup_throw
61,clap
62,swipt_left
63,draw_circle_ccw
64,swipt_left
65,knock
66,clap
67,basketball_shoot
68,stand2sit
69,draw_x
70,knock
71,pickup_throw
72,knock
73,knock
74,knock
75,swipt_right
76,stand2sit
77,pickup_throw
78,wave
79,draw_x
80,draw_circle_ccw
81,draw_x
82,stand2sit
83,tennis_serve
84,bowling
85,baseball_swing
86,push
87,draw_circle_cw
88,stand2sit
89,boxing
90,lunge
91,basketball_shoot
92,walk
93,tennis_swing
94,wave
95,knock
96,arm_curl
97,throw
98,wave
99,draw_x
100,squat
101,swipt_right
102,arm_cross
103,swipt_left
104,swipt_right
105,draw_x
106,stand2sit
107,arm_curl
108,stand2sit
109,stand2sit
110,draw_circle_cw
111,stand2sit
112,jog
113,knock
114,catch
115,walk
116,baseball_swing
117,draw_circle_cw
118,lunge
119,baseball_swing
120,draw_circle_ccw
121,swipt_left
122,push
123,lunge
124,swipt_left
125,wave
126,arm_cross
127,draw_circle_cw
128,baseball_swing
129,swipt_right
130,stand2sit
131,stand2sit
132,arm_curl
133,swipt_left
134,swipt_right
135,lunge
136,stand2sit
137,draw_circle_cw
138,draw_triangle
139,push
140,tennis_swing
141,draw_triangle
142,sit2stand
143,tennis_serve
144,draw_x
145,arm_cross
146,sit2stand
147,pickup_throw
148,jog
149,swipt_left
150,bowling
151,basketball_shoot
152,arm_cross
153,lunge
154,arm_cross
155,draw_circle_ccw
156,tennis_serve
157,arm_cross
158,boxing
159,clap
160,jog
161,swipt_right
162,push
163,swipt_left
164,squat
165,baseball_swing
166,sit2stand
167,tennis_swing
168,arm_curl
169,sit2stand
170,clap
171,draw_x
172,draw_circle_cw
173,baseball_swing
174,clap
175,walk
176,draw_triangle
177,push
178,basketball_shoot
179,squat
180,draw_circle_cw
181,push
182,jog
183,boxing
184,jog
185,basketball_shoot
186,basketball_shoot
187,boxing
188,stand2sit
189,squat
190,arm_curl
191,squat
192,sit2stand
193,arm_curl
194,walk
195,jog
196,stand2sit
197,baseball_swing
198,squat
199,draw_x
200,arm_cross
201,bowling
202,tennis_serve
203,lunge
204,pickup_throw
205,basketball_shoot
206,pickup_throw
207,tennis_swing
208,swipt_right
209,arm_cross
210,squat
211,stand2sit
212,draw_triangle
213,draw_x
214,draw_triangle
215,bowling
