,0
0,arm_curl
1,tennis_serve
2,knock
3,draw_circle_cw
4,clap
5,draw_circle_cw
6,tennis_serve
7,knock
8,jog
9,arm_cross
10,tennis_serve
11,draw_circle_cw
12,throw
13,walk
14,draw_x
15,draw_triangle
16,stand2sit
17,draw_circle_ccw
18,tennis_swing
19,stand2sit
20,jog
21,draw_circle_cw
22,draw_circle_ccw
23,basketball_shoot
24,draw_x
25,push
26,boxing
27,throw
28,draw_x
29,tennis_swing
30,bowling
31,tennis_swing
32,stand2sit
33,catch
34,tennis_swing
35,arm_cross
36,walk
37,draw_circle_ccw
38,draw_x
39,bowling
40,draw_circle_ccw
41,tennis_serve
42,bowling
43,draw_circle_cw
44,push
45,tennis_swing
46,throw
47,sit2stand
48,jog
49,clap
50,tennis_serve
51,draw_circle_ccw
52,draw_circle_ccw
53,draw_circle_cw
54,arm_cross
55,draw_circle_cw
56,squat
57,throw
58,walk
59,draw_triangle
60,pickup_throw
61,clap
62,swipt_right
63,draw_circle_ccw
64,knock
65,throw
66,clap
67,basketball_shoot
68,stand2sit
69,draw_circle_ccw
70,clap
71,pickup_throw
72,draw_circle_cw
73,knock
74,knock
75,swipt_right
76,stand2sit
77,pickup_throw
78,draw_circle_ccw
79,draw_circle_cw
80,draw_circle_ccw
81,throw
82,stand2sit
83,baseball_swing
84,bowling
85,throw
86,boxing
87,draw_circle_ccw
88,stand2sit
89,draw_x
90,lunge
91,throw
92,walk
93,tennis_swing
94,draw_circle_cw
95,throw
96,arm_curl
97,draw_circle_cw
98,draw_circle_ccw
99,catch
100,squat
101,catch
102,arm_cross
103,draw_circle_cw
104,draw_circle_ccw
105,draw_x
106,stand2sit
107,push
108,stand2sit
109,stand2sit
110,draw_circle_ccw
111,stand2sit
112,walk
113,draw_circle_cw
114,wave
115,walk
116,baseball_swing
117,draw_circle_ccw
118,bowling
119,baseball_swing
120,draw_circle_ccw
121,draw_circle_ccw
122,boxing
123,lunge
124,draw_triangle
125,draw_circle_ccw
126,arm_cross
127,draw_circle_cw
128,baseball_swing
129,swipt_right
130,stand2sit
131,stand2sit
132,push
133,draw_circle_ccw
134,draw_circle_cw
135,lunge
136,stand2sit
137,draw_circle_ccw
138,draw_x
139,push
140,tennis_swing
141,knock
142,sit2stand
143,basketball_shoot
144,draw_x
145,arm_cross
146,sit2stand
147,pickup_throw
148,jog
149,knock
150,bowling
151,basketball_shoot
152,arm_cross
153,lunge
154,arm_cross
155,draw_circle_cw
156,draw_circle_cw
157,arm_cross
158,boxing
159,clap
160,jog
161,draw_circle_ccw
162,basketball_shoot
163,draw_triangle
164,squat
165,throw
166,sit2stand
167,tennis_swing
168,arm_curl
169,sit2stand
170,arm_cross
171,draw_x
172,draw_circle_ccw
173,baseball_swing
174,clap
175,pickup_throw
176,draw_x
177,push
178,basketball_shoot
179,squat
180,draw_circle_ccw
181,boxing
182,jog
183,boxing
184,jog
185,basketball_shoot
186,draw_triangle
187,push
188,stand2sit
189,squat
190,boxing
191,squat
192,sit2stand
193,jog
194,walk
195,walk
196,stand2sit
197,baseball_swing
198,squat
199,draw_x
200,arm_cross
201,bowling
202,draw_circle_ccw
203,bowling
204,pickup_throw
205,basketball_shoot
206,pickup_throw
207,tennis_swing
208,draw_circle_cw
209,arm_cross
210,squat
211,stand2sit
212,draw_circle_ccw
213,draw_circle_ccw
214,draw_circle_cw
215,bowling
